domain,counts,sample_urls
uncagedclinician.com,26,https://www.uncagedclinician.com/post/building-word-of-mouth-marketing|https://www.uncagedclinician.com/post/break-free-from-the-grind-62225|https://www.uncagedclinician.com/post/reclaiming-lost-time|https://www.uncagedclinician.com/post/thriving-beyond-a-broken-system|https://www.uncagedclinician.com/post/what-i-wish-i-had-known
instagram.com,22,https://www.instagram.com/quayjo/|https://www.instagram.com/schrothboss?igsh=MXMwbG90OHAycHRwcQ%3D%3D|https://www.instagram.com/relevateptforperformers?igsh=MXZsOWd6dXhwMTJrMA%3D%3D|https://www.instagram.com/p/DNBzOSUOMiC/?igsh=MTk2NWJxYTNqanlmaw%3D%3D|https://www.instagram.com/social_ot?igsh=bGthcmRjeWNiY2Jy
open.spotify.com,9,https://open.spotify.com/episode/5ooe7DqIciKJB8I6TRjnue?si=8t6XpeyvShSJ1nGcbGcL_w|https://open.spotify.com/episode/5krpMl9y4UhuALD0Oqu5Bg?si=8cCtJC33Sh6kO_Rmb7nKGA|https://open.spotify.com/episode/5krpMl9y4UhuALD0Oqu5Bg?si=J3nVXD-pSTK2o66dVqc2-A|https://open.spotify.com/episode/1pU5uan9hBemV49cCEyzJc?si=TrRC3D9tRCaiEjlcaGtC4g|https://open.spotify.com/show/4RGXn9fF0FAUHcdyJppraj?si=TPVQlSW3RF6V3sEAyAczPw
youtu.be,7,https://youtu.be/wTmmD1RSmjM|https://youtu.be/HrnLhTqyfqs?feature=shared|https://youtu.be/jB8bh6irKKw|https://youtu.be/ihHSst8DzQg|https://youtu.be/fQgSGqX71SE
docs.google.com,7,https://docs.google.com/forms/d/e/1FAIpQLScuHS5uHKJ4wc8chiAHCGgAmczB1J3EKsropqKkpUOzXCxBJA/viewform?usp=sharing|https://docs.google.com/document/d/1xpTJ_x3TvZHhfRSj70ANrULkc3yibXqu320PfdtLAqY/edit?usp=sharing%2A%2A%2A|https://docs.google.com/document/d/1w8_tCAqPFSY5vkpuRZfEZI-PiI5uNhXixX9WylS8FoA/edit?usp=sharing%2A%2A%2A|https://docs.google.com/document/d/1PUt7lF3bvvePWE0XYkvUbU-uLpenbN4otCQHUiFQ8UY/edit?usp=sharing%2A|https://docs.google.com/document/d/1ggqgyYE8QIHeuF67LkQ6qnaBEXuPkFaXxCZDzlkTTsw/edit?usp=sharing%2A
cms.gov,6,https://www.cms.gov/Outreach-and-Education/Medicare-Learning-Network-MLN/MLNProducts/downloads/Medicare_Beneficiaries_Dual_Eligibles_At_a_Glance.pdf|https://www.cms.gov/files/document/mln901705-telehealth-services.pdf|https://www.cms.gov/medicare/medicare-general-information/bni/downloads/abn-form-instructions.pdf|https://www.cms.gov/Outreach-and-Education/Medicare-Learning-Network-MLN/MLNProducts/Downloads/OutptRehabTherapy-Booklet-MLN905365.pdf|https://www.cms.gov/Regulations-and-Guidance/Guidance/Manuals/downloads/bp102c15.pdf
indeed.com,5,https://www.indeed.com/viewjob?jk=b2857b141758d80a&from=mobRdr|https://www.indeed.com/job/pelvic-health-physical-therapist-2fc14bf5f0cd3528|https://www.indeed.com/job/physical-therapist-d45b4559658e829b|https://www.indeed.com/job/physical-therapist-ac70743818ac764d?_gl=1%2A1ifz3n2%2A_gcl_aw%2AR0NMLjE2ODMwNjE0MDQuQ2owS0NRanc2Y0tpQmhENUFSSXNBS1hVZHlZbzFTcHg3dG9vbGp5R1pBZERWMjNISkx4TUJlXzVNZ3hOS3V5QkxRYUJvUDlDZEQzU1oyVWFBcnltRUFMd193Y0I.%2A_gcl_dc%2AR0NMLjE2ODMwNjE0MDQuQ2owS0NRanc2Y0tpQmhENUFSSXNBS1hVZHlZbzFTcHg3dG9vbGp5R1pBZERWMjNISkx4TUJlXzVNZ3hOS3V5QkxRYUJvUDlDZEQzU1oyVWFBcnltRUFMd193Y0I.%2A_gcl_au%2AMjA3NjQyOTMwMC4xNjc5OTE3NzY0
podcasts.apple.com,5,https://podcasts.apple.com/us/podcast/dive-deep-into-your-business-why-key-insights-inside/id1419165668?i=1000684053311|https://podcasts.apple.com/us/podcast/kickstart-2025-define-your-why-and-propel-your/id1419165668?i=1000682306603|https://podcasts.apple.com/us/podcast/stop-peeing-your-pants/id1736244444|https://podcasts.apple.com/us/podcast/the-uncaged-clinician/id1419165668?i=1000569751893
apta.org,5,https://www.apta.org/advocacy/take-action/patient-action-center|https://www.apta.org/your-practice/payment/medicare-payment/coding-billing/mppr|https://www.apta.org/news/2023/10/25/practice-expense-survey|https://www.apta.org/advocacy/take-action/patient-action-center?_zs=HTOfV1&_zl=UNoj8
forms.gle,5,https://forms.gle/4PgEBWLyekPzJ3G69|https://forms.gle/kNbb4D4CTRQfES1SA|https://forms.gle/JEDBC7phy5gV9DHU7
l.facebook.com,5,https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.mvpphysiodr.com%2F%3Ffbclid%3DIwAR1CzJQ3UmTsR8LLX4wgs52EHmduCI3xBGsJLudU5WNoXDWa0txp94nlxes&h=AT39iszrRrcnY-WuTrVPm1rqplYu65B5vteQepkKV4L5ne_PkgywBWG2hFIyMA8zqjvRhq_pr0_rwl-bqAbY9-8hBe_xXJWAjatT7LmEWunv4wva_SalU5yCPv6sRz26GHwhJbxhqw&__tn__=-UK-R&c%5B0=|https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.linkedin.com%2Fin%2Fpughhann%3Ffbclid%3DIwAR3ykk99upm4dLW40_-Fm_yB3Q3dT6wFlhon-WrWAwFsajTyV4-VCJxhizM&h=AT2_QPYQiGOXowl8fkV5LFtMs0RixtJ2JJjYyFUlLwc7DvumQLqBcH8MysWrBNEh3-XvcWF4wahI8bk3atMWN7FgAu67uvm8nI-udQEoQwvd8f44uIVxvAK-tVduaIWxotD-Hc5ud0VpPs7Em9DUdIM&__tn__=-UK-R&c%5B0=|https://l.facebook.com/l.php?u=http%3A%2F%2Fcms.gov%2F%3Ffbclid%3DIwAR2rSs-IlxbrUTnlXxh4mV3H6lgNtBN2TREaDTlz1JR1sjv4xyjkNBIkLFU&h=AT10SL2eMv7F0hdS1jBzyxO8HwCBof9av27eGT2PNiSX6GHiPAhOfX4zrBeqFByyh9zMtU1Y3mrsyZT8ZOav426LwxA2ukHcE-upipzmZjuhyjzugItrf87x7Wt70YdD&__tn__=-UK-R&c%5B0=|https://l.facebook.com/l.php?u=https%3A%2F%2Fprograms.uncagedclinician.com%2Fapp-launch-party%3Ffbclid%3DIwAR1CA_z3CFQuBOY-KfyISoz1mMekUw9vLX0AqG_PNAI73aOuZi_2KWrEUf4&h=AT2Z83GI8tI4W5q1vqDoNaa6JVZ-K_EBuqwYRuNa-RmHaUB4uSZzCu3ahMVGbLprp-7FdzKtgPgpn4Glk0YNFCHIjXrjUHAv4gX-QReZb4fGgKzOLyG0QT0zo73kUlEBq-5PdHNLotQHcNwEjCvl5xo&__tn__=R|https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.surveymonkey.com%2Fr%2F2TYD3GC%3Ffbclid%3DIwAR2M4VqbSCqj6KYhfAhu-ZupTLv1bRiHx_QRhqVgAzg2nC8sr5HS5gLgifE&h=AT3ag3IoiM7SVnPX_hxKftPP8sV9dUPVFxxMDkiK2Zea6l21GPU0j0Z58k77CRPHHHWj2frctnNy6NTdGVlN3WjyTwaNhogYsmWEDLTicvJrLw-GnSbqmvx1AgYNhrn3NEP6fZWeMifXDZJQOik6fM4&__tn__=-UK-R&c%5B0=
programs.uncagedclinician.com,5,https://programs.uncagedclinician.com/.../Zu4coAno/checkout|https://programs.uncagedclinician.com/offers/Zu4coAno/checkout|https://programs.uncagedclinician.com/app-launch-party|https://programs.uncagedclinician.com/store/VzZHJSTS
conciergephysicaltherapists.com,4,https://www.conciergephysicaltherapists.com/join-our-team
bit.ly,4,https://bit.ly/41XnD07
