source_type,thread_id,comment_id,createdAt_iso,url,engagement,tags_triggered,text_snippet
thread,thread_1351799892257906,,2023-11-08T23:58:12Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1351799892257906/,1182,,"Our Wellness / Health Coaching consent form has been popular. Who would like a copy? Comment ""Me"""
thread,thread_1181834305921133,,2023-02-13T23:17:33Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1181834305921133/,960,,A lot of people have been asking for a WELLNESS/COACHING Consent Form. Who wants a copy?
thread,thread_1661138187990740,,2025-02-07T02:03:57Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1661138187990740/,858,,"After 30 + years “doing” physical therapy here in Phoenix and Scottsdale, including the past 11 yrs and 8 months of my own mobile practice, this was me leaving my final client in Arizona! Been a good, long ride. Excited to create something in Frisco, Texas!"
thread,thread_1266370220800874,,2023-06-21T15:25:20Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1266370220800874/,670,,We updated our new practice owner 10-Step Checklist to give you more help as a new biz owner. Want it? ⬇️
thread,thread_1373710540066841,,2023-12-15T19:43:45Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1373710540066841/,610,,Who in here is FULLY Uncaged? 👇(No longer dependent on another job for income) We are curious and have something cooking 🍳that we believe you are going to love!
thread,thread_1321801021924460,,2023-09-21T11:04:19Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1321801021924460/,576,promo,"13… I have 13 patients scheduled. It has taken 3 solid years of highs and lows, second guessing myself on this journey, and wondering if I made the right move. But 3 years and I hit my target goal of 12/week… 12 was my magic number to average 10/week. 12 would let me do what I set out to do from ..."
thread,thread_1156866198417944,,2023-01-12T00:53:16Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1156866198417944/,540,,"Idk why but this became a place I feel safe to celebrate financial wins. I’m excited!, I do feel like a money launderer (the good kind) that redistributed my income Lol. I need a budgeting class… 2023 goals. These are net numbers. I work 3 -4 days a week, it’s just me in a small clinic and I took..."
thread,thread_1522427331861827,,2024-08-01T13:21:08Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1522427331861827/,534,,"Hi Everyone. A while back I asked for prayers for my 23 weeker twins. Not sure who will see this post, but just wanted to update the group with this recent photo of them. They are hitting most milestones according to their adjusted age and starting to try new foods. One has a pretty strong bottle..."
thread,thread_1317677879003441,,2023-09-14T21:30:11Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1317677879003441/,480,,"NO BRAIN BLEEDS FOR EITHER GIRL!!!!!!! THANK YOU PRAYER WARRIORS!!!! Hi Uncaged Clinicians. Not sure if this is allowed, but we are asking for prayers for our twin girls born last week at 23 weeks. They are receiving great care in the NICU, but we have a big ultrasound test to scan for brain blee..."
thread,thread_1338846913553204,,2023-10-18T17:30:46Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1338846913553204/,465,,I wrote a book 📕 in 2019 that lays out exactly how I grew my cash concierge practice in Denver… Want the PDF version for free? ⬇️
thread,thread_1905862513518305,,2025-11-23T17:13:45Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1905862513518305/,449,,"**There’s been a lot of “noise” lately about physical therapy no longer being labeled a “professional” degree by the Department of Education.** Here’s the reality: **the public doesn’t care—and honestly, it doesn’t change a thing about what we do.** Most patients don’t know (and don’t need to kno..."
thread,thread_1275519943219235,,2023-07-05T20:21:48Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1275519943219235/,440,,We recorded a 15-minute podcast that will help you to sell your cash based services without feeling salesy. Want it?
thread,thread_1215364245901472,,2023-04-04T01:18:46Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1215364245901472/,434,,For those who haven’t jumped ship. Today when I woke I realized my cat was not well (12.5 months of guessing … on meds off meds ..ups and downs). I held him all morning. He had an accident on me. I bathed him. And this decline continued through the day. Based on the way my dog was acting I knew t...
