source_type,thread_id,comment_id,createdAt_iso,url,matched_text,amount_values,context_tags,text_snippet
thread,thread_1940333303404559,,2026-01-07T02:58:43Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1940333303404559/,$40,40.0,session,"We had a prospective patient reach out to us today who is hearing impaired. Requesting a ASL interpreter, saying that if we don’t have one on staff, we are required to provide one at our expense pe..."
thread,thread_1934821453955744,,2025-12-30T23:38:17Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1934821453955744/,$4,4.0,,"I've been dreaming about hosting a musician's wellness retreat for a couple years, this is the year I want to launch... Problem is $ and what musicians find valuable. So many times we live in broke..."
thread,thread_1934821453955744,,2025-12-30T23:38:17Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1934821453955744/,$12,12.0,,"I've been dreaming about hosting a musician's wellness retreat for a couple years, this is the year I want to launch... Problem is $ and what musicians find valuable. So many times we live in broke..."
comment,thread_1934821453955744,comment_1934889857282237,2025-12-31T02:19:38Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1934821453955744/?comment_id=1934889857282237,$1000,1000.0,,Going to my weekly Bluegrass jam with my <$1000 mandolin or guitar keeps my cup full. 😎
thread,thread_1929009561203600,,2025-12-23T02:59:01Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1929009561203600/,$240,240.0,,"I know this has been asked before, but I can’t find it… best professional liability PLUS general liability insurance for solo practitioners? The company I rent space from is now requiring general l..."
thread,thread_1929009561203600,,2025-12-23T02:59:01Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1929009561203600/,$840,840.0,,"I know this has been asked before, but I can’t find it… best professional liability PLUS general liability insurance for solo practitioners? The company I rent space from is now requiring general l..."
comment,thread_1929009561203600,comment_1929018131202743,2025-12-23T03:14:17Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1929009561203600/?comment_id=1929018131202743,$240,240.0,,I dont know how you got proff liability for $240. Mine is renewing at ~$725 for both through cmf this year and was about $650 last year.
comment,thread_1929009561203600,comment_1929018131202743,2025-12-23T03:14:17Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1929009561203600/?comment_id=1929018131202743,$725,725.0,,I dont know how you got proff liability for $240. Mine is renewing at ~$725 for both through cmf this year and was about $650 last year.
comment,thread_1929009561203600,comment_1929018131202743,2025-12-23T03:14:17Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1929009561203600/?comment_id=1929018131202743,$650,650.0,,I dont know how you got proff liability for $240. Mine is renewing at ~$725 for both through cmf this year and was about $650 last year.
comment,thread_1928806067890616,comment_1929701984467691,2025-12-24T01:11:15Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1928806067890616/?comment_id=1929701984467691,0 to 1 ,1.0,,I work with Jordan at Behind the Practice - it has honestly been transformational for my business. I'm about a year into my practice and didn't have much of an online presence at all (was relying s...
comment,thread_1928557237915499,comment_1928558784582011,2025-12-22T13:34:17Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1928557237915499/?comment_id=1928558784582011,$25,25.0,session,I literally am implementing a small fee for similar starting 2026- i am just doing $25 in addition to visit cost if pt wants me on a holiday or same day last min (i am mobile and cash)
comment,thread_1926509651453591,comment_1926555908115632,2025-12-20T00:55:06Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1926509651453591/?comment_id=1926555908115632,$50,50.0,,Look into the health sharing plans like Christian Healthcare Ministries-and then sign up with a direct care physician ($50-65 per month) you will be shocked at got cheap things are through your dir...
comment,thread_1926509651453591,comment_1926555908115632,2025-12-20T00:55:06Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1926509651453591/?comment_id=1926555908115632,$6,6.0,,Look into the health sharing plans like Christian Healthcare Ministries-and then sign up with a direct care physician ($50-65 per month) you will be shocked at got cheap things are through your dir...
comment,thread_1926509651453591,comment_1926555908115632,2025-12-20T00:55:06Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1926509651453591/?comment_id=1926555908115632,$ 8,8.0,,Look into the health sharing plans like Christian Healthcare Ministries-and then sign up with a direct care physician ($50-65 per month) you will be shocked at got cheap things are through your dir...
comment,thread_1926509651453591,comment_1926555908115632,2025-12-20T00:55:06Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1926509651453591/?comment_id=1926555908115632,$29,29.0,,Look into the health sharing plans like Christian Healthcare Ministries-and then sign up with a direct care physician ($50-65 per month) you will be shocked at got cheap things are through your dir...
comment,thread_1926509651453591,comment_1926555908115632,2025-12-20T00:55:06Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1926509651453591/?comment_id=1926555908115632,$50-65,50.0|65.0,,Look into the health sharing plans like Christian Healthcare Ministries-and then sign up with a direct care physician ($50-65 per month) you will be shocked at got cheap things are through your dir...
thread,thread_1923972251707331,,2025-12-16T18:09:53Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1923972251707331/,$300,300.0,,My liability insurance is going up almost $300 this year. I currently have proliability. I just priced out CM&F and it was even higher. Just wanted to check in and see if folks had other options th...
comment,thread_1923224038448819,comment_1923368771767679,2025-12-16T00:29:27Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1923224038448819/?comment_id=1923368771767679,$400,400.0,,"I just used a tax person. Cost me about $400, but at least I knew it was all done properly and I can call them when I have update questions"
comment,thread_1923077571796799,comment_1923374541767102,2025-12-16T00:41:12Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1923077571796799/?comment_id=1923374541767102,$6,6.0,,If you want to go the least expensive way… use google workspace for $6/month. I don’t need a sophisticated EMR since I’m not in network with insurance. I have all my charts organized in good worksp...
comment,thread_1922630348508188,comment_1923023371802219,2025-12-15T13:37:06Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1922630348508188/?comment_id=1923023371802219,$80,80.0,,"Completely depends on the plan/carrier. Sometimes $80, sometimes $500 like stated above. We balance bill and always collect up to our cash rate if insurance low balls us. We disclose this ahead of ..."
comment,thread_1922630348508188,comment_1923023371802219,2025-12-15T13:37:06Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1922630348508188/?comment_id=1923023371802219,$500,500.0,,"Completely depends on the plan/carrier. Sometimes $80, sometimes $500 like stated above. We balance bill and always collect up to our cash rate if insurance low balls us. We disclose this ahead of ..."
thread,thread_1921098418661381,,2025-12-12T23:47:21Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1921098418661381/,$900,900.0,,"Hey everyone! I’ve done mobile pelvic floor therapy as well as leased space as needed from a chiro office over the last 3 years. I’m ready to have my own space, especially as I can only see clients..."
comment,thread_1920725982031958,comment_1920748932029663,2025-12-12T13:22:35Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1920725982031958/?comment_id=1920748932029663,$10,10.0,,The osha cert expires every year so I always re-do it to avoid issues (quick online $10 course)
comment,thread_1920184942086062,comment_1920256522078904,2025-12-11T21:34:11Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1920184942086062/?comment_id=1920256522078904,$10,10.0,,They should be able to add your business as an additional insured! Ours was around $10 extra per business for that part.
thread,thread_1918755432229013,,2025-12-10T00:36:44Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1918755432229013/,$1800,1800.0,session|membership,"Does anyone do either a (1) monthly subscription model for “wellness” visits, or (2) a yearly subscription discount (e.g., pay $1800 for a guaranteed wellness/maintenance visit each month) I curren..."
comment,thread_1918533988917824,comment_1918543425583547,2025-12-09T17:29:33Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1918533988917824/?comment_id=1918543425583547,$80,80.0,,"I love that you’re thinking through this before you jump in, because the way you structure it now is what’s going to make this collaboration actually work long term. There are a few clean ways to l..."
comment,thread_1918533988917824,comment_1918543425583547,2025-12-09T17:29:33Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1918533988917824/?comment_id=1918543425583547,$150,150.0,,"I love that you’re thinking through this before you jump in, because the way you structure it now is what’s going to make this collaboration actually work long term. There are a few clean ways to l..."
thread,thread_1917997928971430,,2025-12-09T02:31:38Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1917997928971430/,$125,125.0,cash,Questions as cash based + medicare part B provider: -My new understanding is that Medicare Advantage plans still need to be charged by medicare rates? Is that true? I am planning to charge cash and...
thread,thread_1917997928971430,,2025-12-09T02:31:38Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1917997928971430/,$100,100.0,,Questions as cash based + medicare part B provider: -My new understanding is that Medicare Advantage plans still need to be charged by medicare rates? Is that true? I am planning to charge cash and...
thread,thread_1917997928971430,,2025-12-09T02:31:38Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1917997928971430/,$100-118,100.0|118.0,,Questions as cash based + medicare part B provider: -My new understanding is that Medicare Advantage plans still need to be charged by medicare rates? Is that true? I am planning to charge cash and...
thread,thread_1917938972310659,,2025-12-09T00:33:07Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1917938972310659/,$150,150.0,,I had to hire my first employee (front office) to keep up with all the Medicare referrals and paperwork . She is only working 4-10 hours a week and my accountant said I need to use a payroll system...
comment,thread_1917938972310659,comment_1918015965636293,2025-12-09T03:05:43Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1917938972310659/?comment_id=1918015965636293,$70,70.0,,For simple payroll Square is good! It’s only around $70 a month and does most everything for you.
thread,thread_1917636329007590,,2025-12-08T15:37:18Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1917636329007590/,$350,350.0,,"When you started out on your own, what did you do for personal health insurance? I’m currently in school based and hired directly so I have great insurance and my husband’s is meh 🤷🏼‍♀️ Curious as ..."
thread,thread_1917636329007590,,2025-12-08T15:37:18Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1917636329007590/,$375,375.0,,"When you started out on your own, what did you do for personal health insurance? I’m currently in school based and hired directly so I have great insurance and my husband’s is meh 🤷🏼‍♀️ Curious as ..."
thread,thread_1913720379399185,,2025-12-03T15:38:58Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1913720379399185/,$400,400.0,eval,Private practice while working for insurance based company. I have a cash-based private practice that I work weekends and some evenings. I still have a full time job at a larger insurance based pra...
thread,thread_1913720379399185,,2025-12-03T15:38:58Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1913720379399185/,$3500,3500.0,session,Private practice while working for insurance based company. I have a cash-based private practice that I work weekends and some evenings. I still have a full time job at a larger insurance based pra...
thread,thread_1913720379399185,,2025-12-03T15:38:58Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1913720379399185/,$400,400.0,session,Private practice while working for insurance based company. I have a cash-based private practice that I work weekends and some evenings. I still have a full time job at a larger insurance based pra...
comment,thread_1913720379399185,comment_1913745312730025,2025-12-03T16:16:34Z,https://www.facebook.com/groups/uncagedcliniciangroup/posts/1913720379399185/?comment_id=1913745312730025,$400,400.0,session,I think it is definitely a conflict of interest to take a client from your employer and move them to your cash based practice. I never ever see a client privately who i met at my employer without d...
thread,thread_1912904286147461,,2025-12-02T14:12:00Z,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1912904286147461/,$60,60.0,hour,Interested in working at the top level of our profession in an outpatient orthopedic group? We are once again looking to add a Physical Therapist to our growing hub in Detroit/Grosse Pointe areas. ...
